City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Santarem,BR,82.53,broken clouds,-2.4431,-54.7083,Hotel Imperador
10,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
12,Butaritari,KI,80.98,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Metro,ID,75.25,few clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
18,Kluang,MY,77.0,overcast clouds,2.0251,103.3328,Hotel Anika
19,Beidao,CN,77.41,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
20,Bengkulu,ID,76.82,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
23,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
27,Atuona,PF,76.62,scattered clouds,-9.8,-139.0333,Villa Enata
31,Jamestown,US,75.02,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
33,Solana Beach,US,75.09,scattered clouds,32.9912,-117.2711,Hilton San Diego/Del Mar
35,Liwale,TZ,76.55,broken clouds,-9.7667,37.9333,Nakivubo Executive Lodge
42,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Bodden Town,KY,88.0,few clouds,19.2833,-81.25,Will T Place
50,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Broome,US,76.01,clear sky,42.2506,-75.833,Chenango Valley State Park
58,Vanimo,PG,77.56,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
59,Bethel,US,80.6,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
61,Ponta Delgada,PT,75.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
64,Marovoay,MG,77.95,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
76,Victoria,HK,88.18,clear sky,22.2855,114.1577,Mini Central
79,Port Elizabeth,ZA,82.69,clear sky,-33.918,25.5701,39 On Nile Guest House
81,Hithadhoo,MV,82.65,scattered clouds,-0.6,73.0833,Scoop Guest House
86,Gboko,NG,83.32,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
88,Kavieng,PG,82.27,few clouds,-2.5744,150.7967,Nusa Island Retreat
90,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
97,Tiruchchendur,IN,83.61,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
98,Bondoukou,CI,77.63,light rain,8.0333,-2.8,Prestige Hotel
101,Erbaa,TR,83.66,clear sky,40.6689,36.5675,Erbaa Öğretmenevi
106,Cabo San Lucas,MX,89.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
111,Banda Aceh,ID,81.79,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
112,Seoul,KR,78.4,few clouds,37.5683,126.9778,Lotte Hotel Seoul
113,Harper,LR,78.1,overcast clouds,4.375,-7.7169,Screensaver
118,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
121,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
123,Minna,NG,82.96,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
132,Marsh Harbour,BS,83.17,clear sky,26.5412,-77.0636,Abaco Beach Resort
133,Kieta,PG,78.48,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
138,Ponta Do Sol,PT,75.83,clear sky,32.6667,-17.1,Hotel do Campo
139,Westport,US,81.28,broken clouds,41.1415,-73.3579,The Westport Inn
140,Katghora,IN,84.7,overcast clouds,22.5,82.55,Mr.K.D. Mahant
149,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
150,Sur,OM,84.33,light rain,22.5667,59.5289,Sur Plaza Hotel
153,Dingli,MT,82.81,few clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
154,Sao Gabriel Da Cachoeira,BR,80.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
156,Buala,SB,79.2,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
