City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Constitucion,CL,2022-07-06 14:48:12,-35.3333,-72.4167,51.01,74,100,12.84
1,New Norfolk,AU,2022-07-06 14:48:12,-42.7826,147.0587,49.71,80,81,2.53
2,Mnogovershinnyy,RU,2022-07-06 14:48:13,53.9353,139.9242,71.2,71,91,5.14
3,Roald,NO,2022-07-06 14:48:13,62.5833,6.1333,55.54,88,75,9.22
4,Rikitea,PF,2022-07-06 14:48:09,-23.1203,-134.9692,74.73,76,3,19.37
5,Arraial Do Cabo,BR,2022-07-06 14:48:14,-22.9661,-42.0278,82.36,65,0,9.22
6,Almaznyy,RU,2022-07-06 14:48:14,48.0448,40.045,84.47,25,0,12.12
7,Sampit,ID,2022-07-06 14:48:15,-2.5333,112.95,73.78,97,100,1.54
8,Upernavik,GL,2022-07-06 14:46:12,72.7868,-56.1549,39.42,79,31,10.18
9,Ushuaia,AR,2022-07-06 14:47:45,-54.8,-68.3,26.26,80,0,6.91
10,Poum,NC,2022-07-06 14:48:15,-20.2333,164.0167,77.7,80,100,19.95
11,Margate,GB,2022-07-06 14:44:50,51.3813,1.3862,72.88,69,100,5.01
12,Grindavik,IS,2022-07-06 14:48:16,63.8424,-22.4338,57.15,88,75,14.97
13,Lebu,CL,2022-07-06 14:48:03,-37.6167,-73.65,48.27,72,100,16.06
14,Tura,IN,2022-07-06 14:48:16,25.5198,90.2201,75.69,91,80,3.27
15,Bengkulu,ID,2022-07-06 14:48:16,-3.8004,102.2655,79.65,86,100,6.22
16,Oda,JP,2022-07-06 14:48:17,35.1833,132.5,74.84,91,70,2.46
17,Rancho Palos Verdes,US,2022-07-06 14:48:17,33.7445,-118.387,67.51,91,75,3.0
18,Musoma,TZ,2022-07-06 14:48:17,-1.5,33.8,74.55,52,0,8.77
19,Pevek,RU,2022-07-06 14:48:18,69.7008,170.3133,32.14,97,100,7.9
20,Busselton,AU,2022-07-06 14:46:23,-33.65,115.3333,49.01,80,4,11.07
21,Antofagasta,CL,2022-07-06 14:48:19,-23.65,-70.4,67.21,55,76,8.48
22,Bereda,ES,2022-07-06 14:48:19,43.2686,-7.5406,74.41,84,0,11.32
23,Ballina,AU,2022-07-06 14:48:21,-28.8667,153.5667,56.01,88,25,11.74
24,Thompson,CA,2022-07-06 14:45:15,55.7435,-97.8558,64.56,55,75,6.91
25,Moron,AR,2022-07-06 14:48:21,-34.6534,-58.6198,53.96,97,75,8.1
26,Bathsheba,BB,2022-07-06 14:46:26,13.2167,-59.5167,86.05,79,20,20.71
27,Bluff,NZ,2022-07-06 14:48:22,-46.6,168.3333,39.79,67,99,7.2
28,Ribeira Grande,PT,2022-07-06 14:48:22,38.5167,-28.7,72.0,64,75,12.66
29,Hasaki,JP,2022-07-06 14:48:23,35.7333,140.8333,73.8,91,99,17.38
30,Qaanaaq,GL,2022-07-06 14:48:23,77.484,-69.3632,38.98,95,100,0.72
31,Pitimbu,BR,2022-07-06 14:48:23,-7.4706,-34.8086,84.79,68,4,12.12
32,Hobart,AU,2022-07-06 14:44:17,-42.8794,147.3294,50.05,82,33,1.01
33,Bredasdorp,ZA,2022-07-06 14:48:24,-34.5322,20.0403,57.58,66,1,5.7
34,Qostanay,KZ,2022-07-06 14:48:24,53.1667,63.5833,70.09,40,75,6.71
35,Punta Arenas,CL,2022-07-06 14:47:59,-53.15,-70.9167,28.51,93,20,6.91
36,Vigrestad,NO,2022-07-06 14:48:25,58.5667,5.7,57.58,96,100,18.05
37,Cherskiy,RU,2022-07-06 14:48:25,68.75,161.3,39.31,82,100,8.77
38,Havoysund,NO,2022-07-06 14:48:25,70.9963,24.6622,55.63,76,79,21.65
39,Hermanus,ZA,2022-07-06 14:48:26,-34.4187,19.2345,61.81,66,4,6.22
40,Saint-Philippe,RE,2022-07-06 14:48:26,-21.3585,55.7679,69.39,74,65,12.03
41,Hilo,US,2022-07-06 14:48:26,19.7297,-155.09,71.26,87,100,6.91
42,Kahului,US,2022-07-06 14:48:26,20.8947,-156.47,75.85,76,0,17.27
43,Adelaide,AU,2022-07-06 14:45:04,-34.9333,138.6,53.33,84,100,4.61
44,Komsomolskiy,UZ,2022-07-06 14:49:27,40.4272,71.7189,86.72,25,0,4.61
45,Goundi,TD,2022-07-06 14:49:27,9.3627,17.366,88.34,51,71,4.63
46,Bokaa,BW,2022-07-06 14:49:27,-24.45,26.0167,77.49,27,20,8.05
47,Itapemirim,BR,2022-07-06 14:49:27,-21.0111,-40.8339,77.56,56,0,13.6
48,Cape Town,ZA,2022-07-06 14:46:38,-33.9258,18.4232,62.11,67,20,12.66
49,Muswellbrook,AU,2022-07-06 14:49:28,-32.2667,150.9,55.24,97,100,6.38
50,Muisne,EC,2022-07-06 14:49:28,0.6,-80.0333,75.4,83,100,9.71
51,Nikolskoye,RU,2022-07-06 14:49:28,59.7035,30.7861,72.79,48,100,5.53
52,San Luis,AR,2022-07-06 14:49:28,-33.295,-66.3356,65.88,33,0,27.31
53,Severo-Yeniseyskiy,RU,2022-07-06 14:49:29,60.3725,93.0408,54.64,86,88,1.5
54,Avera,US,2022-07-06 14:49:29,33.194,-82.5271,87.85,52,48,6.46
