City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Santarem,BR,-2.4431,-54.7083,82.53,89,75,9.22,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,74.7,78,100,14.2,light rain
2,Port Alfred,ZA,-33.5906,26.891,73.22,35,0,9.1,clear sky
3,Ingham,US,42.6,-84.3833,73.17,60,0,14.97,clear sky
4,Dikson,RU,73.5069,80.5464,32.72,91,18,8.93,few clouds
5,Chokurdakh,RU,70.6333,147.9167,44.94,59,100,3.69,overcast clouds
6,Alekseyevsk,RU,57.8406,108.3492,56.89,91,99,2.73,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,32.02,74,20,9.22,few clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,71.56,97,92,11.01,overcast clouds
9,Busselton,AU,-33.65,115.3333,57.16,67,81,25.52,broken clouds
10,Georgetown,MY,5.4112,100.3354,85.95,74,20,3.44,few clouds
11,Bilibino,RU,68.0546,166.4372,43.43,95,100,6.96,light rain
12,Butaritari,KI,3.0707,172.7902,80.98,80,26,14.25,light rain
13,Mount Isa,AU,-20.7333,139.5,51.57,54,0,6.91,clear sky
14,Carnarvon,AU,-24.8667,113.6333,70.88,65,1,9.93,clear sky
15,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,14.97,scattered clouds
16,Metro,ID,-5.1131,105.3067,75.25,81,13,7.87,few clouds
17,Deer Lake,CA,49.1667,-57.4316,58.86,100,100,10.36,overcast clouds
18,Kluang,MY,2.0251,103.3328,77.0,87,100,2.64,overcast clouds
19,Beidao,CN,34.5686,105.8933,77.41,69,90,6.71,overcast clouds
20,Bengkulu,ID,-3.8004,102.2655,76.82,86,7,5.95,clear sky
21,Tambacounda,SN,13.7539,-13.7586,78.85,94,40,4.61,scattered clouds
22,Yaan,NG,7.3833,8.5667,82.18,73,73,8.88,light rain
23,East London,ZA,-33.0153,27.9116,76.14,46,0,6.91,clear sky
24,Mataura,NZ,-46.1927,168.8643,38.48,92,33,1.9,scattered clouds
25,Lagoa,PT,39.05,-27.9833,66.74,76,56,10.16,broken clouds
26,Khatanga,RU,71.9667,102.5,45.75,93,100,4.79,overcast clouds
27,Atuona,PF,-9.8,-139.0333,76.62,82,25,19.86,scattered clouds
28,Bhind,IN,26.5642,78.7883,93.79,46,100,14.25,overcast clouds
29,Pastavy,BY,55.1168,26.8326,66.25,69,81,6.67,broken clouds
30,Mount Gambier,AU,-37.8333,140.7667,37.31,100,100,6.91,overcast clouds
